Data Number,Motor 1 Position,Motor 2 Position,Motor 3 Position,Motor 4 Position,Frequency (MHz),Real Impedance (Ohms),Imaginary Impedance (Ohms),Color
,159,0,0,161,18.5,88.81973534079053,263.16189566511025,#1abc9c
,169,0,0,161,18.5,90.68618386755509,265.2757742077111,#1abc9c
,180,0,0,161,18.5,91.18317510654573,267.84301636535656,#1abc9c
,189,0,0,161,18.5,89.48814463523627,263.5182333943122,#1abc9c
,199,0,0,161,18.5,88.74370049418883,260.0142668155186,#1abc9c
,2,0,0,171,18.5,79.03477974525032,188.4954347648567,#f1c40f
,12,0,0,171,18.5,78.89984529848812,196.51292950214693,#f1c40f
,22,0,0,171,18.5,77.1064702616494,204.50008685318144,#f1c40f
,32,0,0,171,18.5,77.9046036049351,210.78668584699324,#f1c40f
,42,0,0,171,18.5,77.53593856012348,217.9394358699693,#f1c40f
,52,0,0,171,18.5,79.48911062641935,224.83735599640457,#f1c40f
,62,0,0,171,18.5,78.55695396642598,230.61427053524756,#f1c40f
,72,0,0,171,18.5,81.49703696816039,236.81238667461645,#f1c40f
,82,0,0,171,18.5,81.36626837978903,240.83800925492085,#f1c40f
,92,0,0,171,18.5,81.96003332313376,248.1179882499698,#f1c40f
,102,0,0,171,18.5,83.73433991236786,253.10431306468794,#f1c40f
,112,0,0,171,18.5,85.33114580905685,257.9945164440761,#f1c40f
,122,0,0,171,18.5,89.31864327347647,263.74296521514407,#f1c40f
,132,0,0,171,18.5,89.77780702510523,266.88502398123785,#f1c40f
,142,0,0,171,18.5,91.5164814444384,273.60242193974,#f1c40f
,151,0,0,171,18.5,91.67571858981016,274.87564182357175,#f1c40f
,161,0,0,171,18.5,95.39764571905758,280.45499046753395,#f1c40f
,172,0,0,171,18.5,98.95414067211364,280.954425180142,#f1c40f
,182,0,0,171,18.5,96.59574801071864,281.1907092222327,#f1c40f
,191,0,0,171,18.5,94.27375200588901,280.37150123695386,#f1c40f
,201,0,0,171,18.5,91.23687922044412,274.1205792924818,#f1c40f
,4,0,0,181,18.5,84.35582254012456,207.07014382557057,#2ecc71
,14,0,0,181,18.5,82.2897940891253,214.91793894927235,#2ecc71
,24,0,0,181,18.5,82.28431637862657,223.0399793695382,#2ecc71
,34,0,0,181,18.5,83.7818699585899,227.55219810388866,#2ecc71
,44,0,0,181,18.5,85.49940773281558,236.47723473948764,#2ecc71
,54,0,0,181,18.5,84.34038664250369,241.94816841920033,#2ecc71
,64,0,0,181,18.5,83.05965767316121,248.27729738412935,#2ecc71
,74,0,0,181,18.5,85.8792160148735,254.63112536533436,#2ecc71
,84,0,0,181,18.5,87.79130864214444,261.3168461249131,#2ecc71
,94,0,0,181,18.5,91.65799213019136,265.97728956650826,#2ecc71
,103,0,0,181,18.5,91.49297570563193,270.0365878971296,#2ecc71
,114,0,0,181,18.5,92.03597965326449,276.44617439991384,#2ecc71
,124,0,0,181,18.5,92.63097974760035,280.8627265891173,#2ecc71
,134,0,0,181,18.5,95.87260164925878,285.94444674060344,#2ecc71
,143,0,0,181,18.5,99.54414111719417,290.7473050309466,#2ecc71
,153,0,0,181,18.5,101.91574426623902,293.01547781362046,#2ecc71
,163,0,0,181,18.5,103.8915545812564,296.65526531161106,#2ecc71
,173,0,0,181,18.5,104.62642418086507,301.6515883019193,#2ecc71
,183,0,0,181,18.5,103.85486971983912,301.80274639670097,#2ecc71
,193,0,0,181,18.5,99.18138602318446,295.5395168652717,#2ecc71
,203,0,0,181,18.5,99.31659712139701,291.55980335645904,#2ecc71
